Chay lan thu 1, xet trong so thu 1 (trọng số thứ 1 của ma trận A1), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 2 (trọng số thứ 2 của ma trận A1), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 3 (trọng số thứ 3 của ma trận A1), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 4 (trọng số thứ 4 của ma trận A1), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 5 (trọng số thứ 5 của ma trận A1), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 6 (trọng số thứ 1 của ma trận A21), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 7 (trọng số thứ 2 của ma trận A21), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 8 (trọng số thứ 3 của ma trận A21), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 9 (trọng số thứ 4 của ma trận A21), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 10 (trọng số thứ 5 của ma trận A21), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 11 (trọng số thứ 1 của ma trận A22), sai so: [0.203, 0.234, 0.547, 0.17, 0.204, 0.265]
Chay lan thu 1, xet trong so thu 12 (trọng số thứ 2 của ma trận A22), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
Chay lan thu 1, xet trong so thu 13 (trọng số thứ 3 của ma trận A22), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
Chay lan thu 1, xet trong so thu 14 (trọng số thứ 4 của ma trận A22), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
Chay lan thu 1, xet trong so thu 15 (trọng số thứ 5 của ma trận A22), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
Chay lan thu 1, xet trong so thu 16 (trọng số thứ 1 của ma trận A23), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
Chay lan thu 1, xet trong so thu 17 (trọng số thứ 2 của ma trận A23), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
Chay lan thu 1, xet trong so thu 18 (trọng số thứ 3 của ma trận A23), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
Chay lan thu 1, xet trong so thu 19 (trọng số thứ 4 của ma trận A23), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
Chay lan thu 1, xet trong so thu 20 (trọng số thứ 5 của ma trận A23), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.23]
